session_id,lookups,hits,misses,shared_hits,p99_max,hit_rate,shared_hit_rate
s012,29,11,18,7,5367.532601999756,0.3793103448275862,0.2413793103448276
s002,21,16,5,8,844.8862080003892,0.7619047619047619,0.38095238095238093
s008,29,29,0,0,757.0898910003052,1.0,0.0
s006,20,16,4,0,1662.0582229998035,0.8,0.0
s013,79,52,27,18,986.6896589996941,0.6582278481012658,0.22784810126582278
s000,41,20,21,4,922.511165999822,0.4878048780487805,0.0975609756097561
s010,21,21,0,0,747.6004619998093,1.0,0.0
s011,24,11,13,2,959.7443210000165,0.4583333333333333,0.08333333333333333
s003,31,9,22,4,978.8029259998439,0.2903225806451613,0.12903225806451613
s005,73,38,35,8,887.6052599998729,0.5205479452054794,0.1095890410958904
s004,78,19,59,2,1053.2772930000647,0.24358974358974358,0.02564102564102564
s014,27,13,14,7,840.6077320000804,0.48148148148148145,0.25925925925925924
s001,57,57,0,0,771.7741830001614,1.0,0.0
s009,29,29,0,0,764.3746790004116,1.0,0.0
s007,23,23,0,0,764.8617079998985,1.0,0.0
